id,name,nutritive_id
1,アマランサス　玄穀　,1
2,あわ　精白粒　,2
3,あわ　あわもち　,3
4,えんばく オートミール　,4
5,おおむぎ 七分つき押麦　,5
6,おおむぎ　押麦　,6
7,おおむぎ　米粒麦　,7
8,おおむぎ　大麦めん　乾　,8
9,おおむぎ　大麦めん　ゆで　,9
10,おおむぎ　麦こがし　,10
11,きび　精白粒　　　,11
12,こむぎ　［玄穀］　国産　普通　,12
13,こむぎ　［玄穀］　輸入　軟質　,13
14,こむぎ　［玄穀］　輸入　硬質　,14
15,こむぎ　［小麦粉］　薄力粉　1等　,15
16,こむぎ　［小麦粉］　薄力粉　2等　,16
17,こむぎ　［小麦粉］　中力粉　1等　,17
18,こむぎ　［小麦粉］　中力粉　2等　,18
19,こむぎ　［小麦粉］　強力粉　1等　,19
20,こむぎ　［小麦粉］　強力粉　2等　,20
21,こむぎ　［小麦粉］　強力粉　全粒粉　,21
22,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,22
23,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,23
24,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,24
25,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,25
26,こむぎ　［パン類］　食パン　　,26
27,こむぎ　［パン類］　コッペパン　　,27
28,こむぎ　［パン類］　乾パン　　,28
29,こむぎ　［パン類］　フランスパン　　,29
30,こむぎ　［パン類］　ライ麦パン　　,30
31,こむぎ　［パン類］　ぶどうパン　　,31
32,こむぎ　［パン類］　ロールパン　　,32
33,こむぎ　［パン類］　クロワッサン　　,33
34,こむぎ　［パン類］　イングリッシュマフィン　　,34
35,こむぎ　［パン類］　ナン　　,35
36,こむぎ　［パン類］　ベーグル　　,36
37,こむぎ　［うどん・そうめん類］　うどん　生　,37
38,こむぎ　［うどん・そうめん類］　うどん　ゆで　,38
39,こむぎ　［うどん・そうめん類］　干しうどん　乾　,39
40,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,40
41,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,41
42,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,42
43,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,43
44,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,44
