id,enerc_kcal,water,protain,protainb_by_amino,lipid,fantnlea,fasat,fams,fapu,carbohydrate,choavlm,fibsol,fibins,fibtg,ash,ne,k,ca,mg,p,fe,zn,cu,mn,i_d,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vita_rae,vitd,tocpha,tocphb,tocphg,tocphd,vitk,thiahcl,ribf,nia,vitb6a,vitb12,fol,pantac,biot,vitc,nacl_eq,alc,nitra,thebrn,caffn,tan,polyphent,aceac,food_id
1,358,13.5,12.7,-12.5,6,5,1.18,1.48,2.1,64.9,63.5,1.1,6.3,7.4,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,0,0,2,0,2,Tr,0,1.3,2.3,0.2,0.7,0,0.04,0.14,1,0.58,0,130,1.69,16.3,0,0,0,0,0,0,0,0,0,1
2,367,13.3,11.2,10,4.4,4.1,0.67,0.52,2.75,69.7,69.6,0.4,2.9,3.3,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,0,0,0,0,0,0,0,0.6,0,2.2,0,0,0.56,0.07,2.9,0.18,0,29,1.83,14.4,0,0,-,-,-,-,-,-,-,2
3,214,48,5.1,-4.5,1.3,-1.2,-0.22,-0.19,-0.73,45.3,-,0,1.5,1.5,0.3,0,62,5,12,39,0.7,1.1,0.2,0.46,0,1,0,40,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,0.03,0,7,0.61,3.4,0,0,-,-,,-,-,,-,3
4,380,10,13.7,12,5.7,-5.1,-0.94,-1.8,-2.09,69.1,63.1,3.2,6.2,9.4,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,18,0,110,0,-,-,-,0,0,0,0.6,0.1,0,0,0,0.2,0.08,1.1,0.11,0,30,1.29,21.7,0,0,-,-,-,-,-,-,-,4
5,341,14,10.9,-9.5,2.1,1.8,0.58,0.2,0.91,72.1,-71.2,6.3,4,10.3,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85,-,-,-,-,0,-,-,-,0,0,0,0.2,Tr,0.1,0,0,0.22,0.07,3.2,0.14,0,17,0.43,-,0,0,-,-,-,-,-0.58,-,-,5
6,340,14,6.2,5.4,1.3,-1.1,-0.36,-0.12,-0.56,77.8,71.2,6,3.6,9.6,0.7,2,170,17,25,110,1,1.2,0.4,-,0,1,0,8,0,-,-,-,0,0,0,0.1,0,0,0,0,0.06,0.04,1.6,0.14,0,9,0.46,2.6,0,0,-,-,-,-,-,-,-,6
7,343,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
8,339,14,12.9,-11.4,1.7,-1.5,-0.42,-0.16,-0.82,68,-72.2,3.6,2.7,6.3,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.9,-,-,-,-,0,-,-,-,0,0,0,Tr,Tr,0,0,0,0.21,0.04,3.5,0.09,0,19,0.64,-,0,2.8,-,-,-,-,-,-,-,8
9,122,70,4.8,-4.3,0.6,-0.5,-0.15,-0.05,-0.29,24.3,-25.2,1.2,1.3,2.5,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27,-,-,-,-,0,-,-,-,0,0,0,Tr,Tr,0,0,0,0.04,0.01,1,0.01,0,5,0.26,-,0,0.2,-,-,-,-,-,-,-,9
10,391,3.5,12.5,-10.8,5,-4.2,-1.39,-0.47,-2.17,77.1,-79.9,5.2,10.3,15.5,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,0,-,-,-,0,0,0,0.5,0.1,0.2,0,0,0.09,0.1,7.6,0.09,0,24,0.28,-,0,0,-,-,-,-,-,-,-,10
